id,logo_id,state_name,name,site_url,addr1,addr,addr2_etc,city,state,zipcode,phone,tagline,volunteer,volunteer_url
1,,Alaska,Alaska Grassroots Alliance / StandUp Alaska,https://www.populardemocracy.org/our-affiliates,123 Address Lane,Suite,2,Bronx,AK,12345,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
2,,Arkansas,Arkansas Community Organization,https://www.populardemocracy.org/our-affiliates,124 Address Lane,,,Bronx,AR,12346,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
3,,Arizona,Living United for Change in Arizona,https://www.populardemocracy.org/our-affiliates,125 Address Lane,Suite,2,Bronx,AZ,12347,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
4,,California,ACCE Institute (Alliance of Californians for Community Empowerment),https://www.populardemocracy.org/our-affiliates,126 Address Lane,Suite,2,Encino,CA,12348,123-456-7890,,,
5,,California,Center on Policy Initiatives,https://www.populardemocracy.org/our-affiliates,127 Address Lane,,,Bronx,CA,12349,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
6,,California,Organization United for Respect,https://www.populardemocracy.org/our-affiliates,128 Address Lane,,,Bronx,CA,12350,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
7,,Colorado,United for a New Economy (UNE),https://www.populardemocracy.org/our-affiliates,129 Address Lane,,,Bronx,CO,12351,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
8,,Connecticut,Make the Road Connecticut,https://www.populardemocracy.org/our-affiliates,130 Address Lane,Suite,2,Bronx,CT,12352,123-456-7890,,,
9,,Delaware,Delaware Alliance for Community Advancement,https://www.populardemocracy.org/our-affiliates,132 Address Lane,Suite,2,Bronx,DE,12354,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
10,,Florida,Florida Rising,https://www.populardemocracy.org/our-affiliates,133 Address Lane,Suite,2,Bronx,FL,12355,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
11,,Georgia,CASA,https://www.populardemocracy.org/our-affiliates,134 Address Lane,,,Bronx,GA,12356,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
12,,Georgia,New Georgia Project,https://www.populardemocracy.org/our-affiliates,135 Address Lane,Suite,2,Bronx,GA,12357,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
13,,Indiana,Hoosier Action,https://www.populardemocracy.org/our-affiliates,136 Address Lane,Suite,2,Bronx,IN,12358,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
14,,Kansas,Sunflower Community Action,https://www.populardemocracy.org/our-affiliates,137 Address Lane,Suite,2,Bronx,KS,12359,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
15,,Louisiana,Step Up Louisiana,https://www.populardemocracy.org/our-affiliates,138 Address Lane,Suite,2,Bronx,LA,12360,,We build things!,Volunteer with Us!,http://www.s.co/volunteer
17,,Maryland,CASA,https://www.populardemocracy.org/our-affiliates,140 Address Lane,Suite,2,Bronx,MD,12362,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
18,,Maryland,Maryland Communities United,https://www.populardemocracy.org/our-affiliates,141 Address Lane,Suite,2,Bronx,MD,12363,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
19,,Maine,Maine People's Alliance,https://www.populardemocracy.org/our-affiliates,142 Address Lane,Suite,2,Bronx,ME,12364,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
20,,Michigan,Detroit Action,https://www.populardemocracy.org/our-affiliates,143 Address Lane,Suite,24,Bronx,MI,12365,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
21,,Michigan,Flint Rising,https://www.populardemocracy.org/our-affiliates,144 Address Lane,Suite,24,Flint,MI,12366,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
22,,Minnesota,Comunidades Organizando El Poder Y La Acción Latina-COPAL Education Fund,https://www.populardemocracy.org/our-affiliates,145 Address Lane,Suite,24,Bronx,MN,12367,123-456-7890,,,
23,,Minnesota,TakeAction Minnesota,https://www.populardemocracy.org/our-affiliates,146 Address Lane,,,Bronx,MN,12368,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
24,,Missouri,Communities Creating Opportunity,https://www.populardemocracy.org/our-affiliates,147 Address Lane,Suite,24,Bronx,MO,12369,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
25,,Montana,The Montana Human Rights Network (MHRN),https://www.populardemocracy.org/our-affiliates,148 Address Lane,Suite,24,Bronx,MT,12370,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
26,,North Carolina,Action NC,https://www.populardemocracy.org/our-affiliates,149 Address Lane,Suite,24,Bronx,NC,12371,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
27,,New Hampshire,Rights & Democracy,https://www.populardemocracy.org/our-affiliates,150 Address Lane,,,Bronx,NH,12372,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
28,,New Jersey,Make the Road New Jersey,https://www.populardemocracy.org/our-affiliates,151 Address Lane,Suite,24,Secaucus,NJ,12373,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
29,,New Mexico,Organizers in the Land of Enchantment,https://www.populardemocracy.org/our-affiliates,152 Address Lane,Suite,1,Bronx,NM,12374,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
30,,Nevada,Make the Road Nevada,https://www.populardemocracy.org/our-affiliates,153 Address Lane,Building,1,Bronx,NV,12375,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
31,,New York,Churches United for Fair Housing (CUFFH),https://www.populardemocracy.org/our-affiliates,154 Address Lane,,,Bronx,NY,12376,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
32,,New York,Make the Road New York,https://www.populardemocracy.org/our-affiliates,155 Address Lane,,,Bronx,NY,12377,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
33,,New York,New York Communities for Change,https://www.populardemocracy.org/our-affiliates,156 Address Lane,Building,1,Bronx,NY,12378,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
34,,New York,VOCAL-NY,https://www.populardemocracy.org/our-affiliates,157 Address Lane,Building,1,Bronx,NY,12379,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
35,,Ohio,Ohio Organizing Collaborative,https://www.populardemocracy.org/our-affiliates,158 Address Lane,Building,1,Bronx,OH,12380,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
36,,Oregon,Pineros y Campesinos Unidos del Noroeste,https://www.populardemocracy.org/our-affiliates,159 Address Lane,Building,1,Bronx,OR,12381,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
37,,Pennsylvania,215 People's Alliance,https://www.populardemocracy.org/our-affiliates,160 Address Lane,Building,1,Bronx,PA,12382,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
38,,Pennsylvania,CASA,https://www.populardemocracy.org/our-affiliates,161 Address Lane,Building,1,Bronx,PA,12383,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
39,,Pennsylvania,Center for Coalfield Justice,https://www.populardemocracy.org/our-affiliates,162 Address Lane,,,Bronx,PA,12384,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
40,,Pennsylvania,Make the Road Pennsylvania,https://www.populardemocracy.org/our-affiliates,163 Address Lane,Building,1,Bronx,PA,12385,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
41,,Pennsylvania,One Pennsylvania,https://www.populardemocracy.org/our-affiliates,164 Address Lane,Building,1,Bronx,PA,12386,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
42,,Texas,Texas Organizing Project,https://www.populardemocracy.org/our-affiliates,166 Address Lane,Building,1,Bronx,TX,12388,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
43,,Texas,Workers Defense Project,https://www.populardemocracy.org/our-affiliates,167 Address Lane,Building,1,Bronx,TX,12389,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
44,,Virginia,CASA,https://www.populardemocracy.org/our-affiliates,168 Address Lane,Building,1,Bronx,VA,12390,,We build things!,Volunteer with Us!,http://www.s.co/volunteer
45,,Virginia,New Virginia Majority,https://www.populardemocracy.org/our-affiliates,169 Address Lane,Building,1,Bronx,VA,12391,123-456-7890,,,
46,,Vermont,Rights & Democracy,https://www.populardemocracy.org/our-affiliates,170 Address Lane,Building,1,Bronx,VT,12392,123-456-7890,,,
47,,Washington,Working Washington,https://www.populardemocracy.org/our-affiliates,171 Address Lane,Building,1,Bronx,WA,12393,123-456-7890,,,
48,,Wisconsin,Black Leaders Organizing for Communities,https://www.populardemocracy.org/our-affiliates,172 Address Lane,Building,1,Bronx,WI,12394,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
49,,Wisconsin,Leaders Igniting Transformation (LIT),https://www.populardemocracy.org/our-affiliates,173 Address Lane,Building,1,Bronx,WI,12395,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
50,,West Virginia,Our Future West Virginia,https://www.populardemocracy.org/our-affiliates,174 Address Lane,Building,1,Bronx,WV,12396,123-456-7890,We build things!,Volunteer with Us!,http://www.s.co/volunteer
51,,District of Columbia,SPACEs,https://www.populardemocracy.org/our-affiliates,131 Address Lane,Building,1,Bronx,DC,12353,,We build things!,Volunteer with Us!,http://www.s.co/volunteer
52,,Puerto Rico,Taller Salud,https://www.populardemocracy.org/our-affiliates,165 Address Lane,Building,1,Bronx,PR,12387,123-456-7890,We build things!,Volunteer with Us!,
